"htid	access	rights	ht_bib_key	description	source	source_bib_num	oclc_num	isbn	issn	lccn	title	imprint	rights_reason_code	rights_timestamp	us_gov_doc_flag	rights_date_used	pub_place	lang	bib_fmt	collection_code	content_provider_code	responsible_entity_code	digitization_agent_code	access_profile_code	author	catalog_url	handle_url",,,,,,,,,,,,,,
"coo1.ark:/13960/t2m623920	1	pd	100773444		COO	5437609	34661880				The elements of elocution", with special reference to the literary basis of delivery," including selections in poetry and prose for reading and recitation. A class-book for schools and private students.	G. Philip"," 1890.	bib	2021-01-20 17:16:14	0	1890	enk	eng	BK	COO	cornell	cornell	cornell-ms	open	Clegg"," Charles E.	https://catalog.hathitrust.org/Record/100773444	https://hdl.handle.net/2027/coo1.ark:/13960/t2m623920",,,,,,,,,,
"coo1.ark:/13960/t58d0gk82	1	pdus	100766119		COO	2322437	333057			02014586	The American star speaker and model elocutionist.	M.A. Donohue & co. [c1902]	bib	2015-07-21 03:25:48	0	1902	xx 	eng	BK	COO	cornell	cornell	cornell-ms	open	Brown", Charles Walter," 1866-1934.	https://catalog.hathitrust.org/Record/100766119	https://hdl.handle.net/2027/coo1.ark:/13960/t58d0gk82",,,,,,,,,,,,
"coo1.ark:/13960/t6nz8rs9s	1	pd	100771836		COO	4735850	594119				The Delsarte system of physical culture.	Butterick Pub. Co."," 1893.	bib	2015-07-21 03:26:25	0	1893	nyu	eng	BK	COO	cornell	cornell	cornell-ms	open	Georgen"," Eleanor.	https://catalog.hathitrust.org/Record/100771836	https://hdl.handle.net/2027/coo1.ark:/13960/t6nz8rs9s",,,,,,,,,,,,
"hvd.32044014467336	1	pd	100326522		HVD	003624344	11255854			12005450	The art of oratory", system of Delsarte, from the French of M. l'abbe Delaumosne and Mme. Angelique Arnaud, (pupils of Delsarte). With an essay on the attributes of reason," by Franc̜ois Delsarte. (The only authentic published production from his pen.)	E.S. Werner"," 1884.	bib	2014-10-04 03:28:50	0	1884	nyu	eng	BK	HVD	harvard	harvard	google	google	Delaumosne"," Abb'e.	https://catalog.hathitrust.org/Record/100326522	https://hdl.handle.net/2027/hvd.32044014467336",,,,,,,,
"hvd.32044079736146	1	pd	102675697		HVD	990071926550203941	1036240174				Lectures and practical lessons in the three departments of English literature",elocution, and composition,given during the past twenty years as professor at Antioch College,Yellow Springs,O.; before various institutions and associations in Cincinnati,O.;in Boston,Mass.; and yearly delivered in the Meadville Theological School,Meadville,Penn.,"as non-resident professor.	printed by Rand",Avery,& Frye," 1870.	bib	2020-01-21 03:26:42	0	1870	mau	eng	BK	HVD	harvard	harvard	google	google	Zachos"," J. C. 1820-1898.	https://catalog.hathitrust.org/Record/102675697	https://hdl.handle.net/2027/hvd.32044079736146"
"hvd.32044102875200	1	pd	9720968		HVD	990035144870203941	2328492				Elements of rhetoric : comprising the substance of the article in the Encyclopaedia metropolitana with additions"," &c. / by Richard Whateley.	Printed by W. Baxter for John Murray", London and J. Parker, Oxford," 1828.	bib	2011-08-23 19:30:08	0	1828	enk	eng	BK	HVD	harvard	harvard	google	google	Whately", Richard," 1787-1863	https://catalog.hathitrust.org/Record/9720968	https://hdl.handle.net/2027/hvd.32044102875200",,,,,,,,
"hvd.hn5axc	1	pd	100495414		HVD	006600857	235928603				Reading and elocution: theoretical and practical.	Ivison", Blakeman, Taylor & co.," 1878.	bib	2014-10-21 03:28:06	0	1878	nyu	eng	BK	HVD	harvard	harvard	google	google	Randall Diehl"," Anna.	https://catalog.hathitrust.org/Record/100495414	https://hdl.handle.net/2027/hvd.hn5axc",,,,,,,,,,
"hvd.hwhitn	1	pd	9730199		HVD	002860507	7548894				A practical manual of elocution : embracing voice and gesture : designed for schools", academies and colleges," as well as for private learners / by Merritt Caldwell.	Sorin & Ball"," 1845.	bib	2011-04-29 20:31:59	0	1845	pau	eng	BK	HVD	harvard	harvard	google	google	Caldwell", Merritt," 1806-1848.	https://catalog.hathitrust.org/Record/9730199	https://hdl.handle.net/2027/hvd.hwhitn",,,,,,,,,
"hvd.hwpa7d	1	pd	11549426		HVD	003724069	20659175				The art of elocution : from the simple articulation of the elemental sounds of language"," up to the highest tone of expression in speech attainable by the human voice.	Sold by Sampson", Low," Pref. 1846.	bib	2012-05-14 19:31:31	0	1846	enk	eng	BK	HVD	harvard	harvard	google	google	Vanderhoff", George," 1820-1884.	https://catalog.hathitrust.org/Record/11549426	https://hdl.handle.net/2027/hvd.hwpa7d",,,,,,,,,
"hvd.hwpa9a	1	pd	7693477		HVD	003723796	14088095				The art of elocution; or", logical and musical reading and declamation. With an appendix containing a copious practice in oratorical, poetical, and dramatic reading and recitation; the whole forming a complete speaker, well adapted to private pupils, classes," and the use of schools.	Shepard"," 1847 [c1846]	bib	2012-05-14 19:31:31	0	1846	nyu	eng	BK	HVD	harvard	harvard	google	google	Vandenhoff", George," 1820-1885.	https://catalog.hathitrust.org/Record/7693477	https://hdl.handle.net/2027/hvd.hwpa9a",,,,,
"hvd.hwsk53	1	pd	11630457		HVD	003706675	81703952				Hints on elocution", comprising observations on the improvement and management of the voice, modulation, articulation, etc.; original, compiled and selected from Austin, Blair, Burgh etc.," etc.	G. Biggs"," 1850.	bib	2012-06-04 10:28:11	0	1850	enk	eng	BK	HVD	harvard	harvard	google	google	Smith", Charles William," of-?	https://catalog.hathitrust.org/Record/11630457	https://hdl.handle.net/2027/hvd.hwsk53",,,
