book_id,title,book_author,publisher,rights_date,shakespeare,chaucer,spenser,wordsworth,thurlow,milton,pope,dryden,fordyce,coplestone,opie,thackeray,thrale,lloyd,mackintosh,logan,fox,grey,shenstone,tate,me_henry,lingard,barbauld,alison,anstey,butler,jeffrey,thelwall,paley,bacon,curran (irl),brougham,chalmers,jonson,kingsley,spurgeon,lyon,aikin,croly,merrick,jerrold,carpenter,aide,poole,erskine,otway,combe,dimond,wolcot_pindar,desprez,talbot,southern (irl),chatham,pitt,thomson,lamb,walker,talfourd,emmet (irl),grattan,mackenzie,gibbon,ponsonby,barrington,green,bushe,plunket,tickel,parnell,sherlocke,tobin,hume,bart,more,hooke,melmouth,gordon,lyttleton,swift,forsyth,robertson,jewsbury,hooker,burke,home,sheridan,wilson,goldsmith,landor,hood,dickens,a_edwards,clare,e_mackay,jameson,burns,coleridge,collins,buchanan,whittier,rogers,byron,c_mackay,ca_southey,r_southey,barnard,holcroft,dequincey,keats,cowper,tupper,hunt,havergal,macaulay,hervey,froude,yonge,disraeli,bright,gladstone,carlyle,oconnell (irl),gray,motherwell,campbell,blatch,ruskin,atherstone,lyte,scott,mahoney (irl),colman,addison,hemans,mason,carter,gay,prior,baillie,pollock,norton,bulwer,landon,massey,tennyson,r_browning,e_browning,herschell,farnaby,watts,morris,hazlitt,maclagan,chatterton,e_darwin,lowe,bowring,moore (irl),mitford,keble,robinson (irl),newman,king_charles,waring,cranahan,bonar,munby,blackwall,burton,breton,craik_muloch,herbet,planche,barton,alexander (irl),wolfe (irl),benson,macdonald,j_taylor,faber,dufferin (irl),j_montgomery,houghton,percy,tillotson,dobell,cook,swinburn,white,aa_procter,b_procter,shiel (irl) ,arnold,davis,mickle,waller,hogg,shelley,herrick,bailey,parsons,h_taylor,collins,knowles,ingelow,ossian,wesley,,,,,rw_emerson,ns_emerson,hawthorne,longfellow,seward,franklin,jq_adams,adams,jefferson,van_buren,a_jackson,hoyt,polk,motley,simms,chapin,patten,cozzens,walworth,marks,clinton,bf_taylor,nott,fern,neal,coates,osgood,sears,fuller,whitney,clay,channing,t_dwight,grimke,dwight_moody,colton,malcolm,bronson,allerton,coan,ih_brown,g_brown,DeKroyft,garfield,holt,curtis,wirt,hayne,beers,blaine,cleveland,sprague,warner,thaxter,sargent,allston,story,aldrich,baker,whittaker,lowell,kellogg,holmes,headley,a_stephens,gilman,e_brooks,irving,randolph,poe,howe,arey,stedman,bungay,thorpe,trowbridge,bryant,dana,davidson,hay,r_johnson,macon,priest,cary,read,wilcox,finch,perry,yates,burritt,a_woods,woodworth,whitman,lincoln,whipple,phillips,l_beecher,hw_beecher,everett,cox,schaff,dewey,ward,pierpont,twain,otis,willis,harbaugh,burdette,gough,henry,sigourney,berkley,billings,percival,webster,rush,saxe,hamilton,greene,clark,tilton,parker,swan,ware,holland,bancroft,sheppard,stowe,scudder,hall,halleck,carey,hoppin,proudfit_arkwright,talmadge,boker,dunn,bigelow,mccallum,j_miller,w_miller,hartwick,sweet,patten,pettee,heber,prentice,smith,sf_smith,g_smith,mcduffie,marion,booth,carleton,harte,l_montgomery (can),demille (can),koetzebue (ger),korner (ger),gerhardt (ger),schiller (ger),goethe (ger),thornton (aus),psalms,voiture (fr),michelet (fr),delisle (fr),vossius (dutch),bremer (swed),josephus (rome),cicero (rome),dionysus (rome),quintilian (rome),virgil (rome),john ix (rome),aristotle (greek),socrates (greek),clito  (greek),demostenes (gr),rolland (fr),massillon (fr),coppee (fr),port_royal (fr),camvray (fr),rollin (fr),de_born (fr),hugo (fr),derzhavin (rus),souvestre (fr),faliero (italy),logan (cuyahoga),bible,anonymous,publisher_nationality,brit_count,american_count,nationality_match
coo1.ark:/13960/t2m623920,"The elements of elocution, with special reference to the literary basis of delivery, including selections in poetry and prose for reading and recitation. A class-book for schools and private students.","Clegg, Charles E.","G. Philip, 1890.",1890,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,1,1,3,6,,,2,,2,1,1,1,2,1,1,1,,1,,,,1,1,,1,1,1,,,,1,1,1,1,,,,,,1,,0,0,,,2,0,,,,,,,0,,0,,0,0,0,,,,,,0,,,,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,,0,0,0,,0,,,0,0,,0,0,0,,0,0,0,,,0,0,0,,0,,0,,,0,,,,,0,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,,,,,,,3,,1,,,,,1,,2,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,,0,0,0,0,0,0,,0,,,,0,0,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,,2,eng,28,6,1
coo1.ark:/13960/t58d0gk82,The American star speaker and model elocutionist.,"Brown, Charles Walter, 1866-1934.",M.A. Donohue & co. [c1902],1902,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,1,3,1,,,0,,2,0,0,0,2,0,1,0,,1,,,,0,1,,1,0,2,,,,0,0,0,0,,,,1,,1,,1,3,,,0,3,,,,,,,1,,1,,6,2,2,,,,,,1,,,,1,6,,1,1,1,1,1,1,1,1,,1,1,1,1,,2,1,1,,,1,2,1,,1,,,2,1,,1,1,1,,1,1,1,,,1,1,1,,1,,1,,,1,,,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,1,,,,,,,0,,5,,,,,0,,2,1,,2,1,1,1,3,1,,2,1,1,1,1,2,1,1,0,1,,,1,1,1,1,1,,1,1,1,1,1,3,,1,,,,2,1,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,11,usa,58,43,0
coo1.ark:/13960/t6nz8rs9s,The Delsarte system of physical culture.,"Georgen, Eleanor.","Butterick Pub. Co., 1893.",1893,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hvd.32044014467336,"The art of oratory, system of Delsarte, from the French of M. l'abbe Delaumosne and Mme. Angelique Arnaud, (pupils of Delsarte). With an essay on the attributes of reason, by Franc̜ois Delsarte. (The only authentic published production from his pen.)","Delaumosne, Abb'e.","E.S. Werner, 1884.",1884,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hvd.32044079736146,"Lectures and practical lessons in the three departments of English literature,elocution, and composition,given during the past twenty years as professor at Antioch College,Yellow Springs,O.; before various institutions and associations in Cincinnati,O.;in Boston,Mass.; and yearly delivered in the Meadville Theological School,Meadville,Penn.,as non-resident professor.","Zachos, J. C. 1820-1898.","printed by Rand,Avery,& Frye, 1870.",1870,4,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,,0,,1,1,0,0,0,0,0,0,,0,,,,0,0,,0,0,0,,,,0,0,0,0,,,,,,0,,0,0,,,0,0,,,,,,,0,,0,,0,0,0,,,,,,0,,,,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,,0,0,0,,0,,,0,0,,0,0,0,,0,0,0,,,0,0,0,,0,1,0,1,,0,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,,,,,,,0,,0,,,,,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,0,0,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,0,,,,0,,,,,,,,1,,,,,,,,,,,,,,0,,,,0,usa,7,0,0
hvd.hn5axc,Reading and elocution: theoretical and practical.,"Randall Diehl, Anna.","Ivison, Blakeman, Taylor & co., 1878.",1878,3,0,0,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,1,0,0,1,3,,1,0,1,0,0,0,0,1,0,0,0,4,0,1,1,1,0,0,,0,0,2,,,,1,0,0,0,,1,2,1,,2,,0,2,,,0,2,,,,,,,0,2,0,,6,1,3,,,,1,1,0,1,,,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,,0,0,0,,0,1,,0,0,1,0,1,1,,0,0,0,,,1,0,0,,0,0,1,0,,0,,,,,1,,1,5,,,,,1,,,,,,,,,,,,,2,,1,,,,,,,1,,,,,,,,,0,0,1,1,,,,,,,,,,,0,,,,2,,,2,,4,,,,,2,,2,0,1,0,1,0,3,0,0,1,0,0,0,1,2,1,0,0,0,0,,,0,0,0,0,0,,1,0,0,0,0,0,2,0,,,1,0,2,,1,,0,2,2,,2,1,,2,1,1,1,1,,,0,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,0,,1,,,,1,,,1,,,,,1,,,,,,,,,,,1,,,,,,,1,1,,,,,6,usa,36,38,1
hvd.hwhitn,"A practical manual of elocution : embracing voice and gesture : designed for schools, academies and colleges, as well as for private learners / by Merritt Caldwell.","Caldwell, Merritt, 1806-1848.","Sorin & Ball, 1845.",1845,5,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,0,0,0,0,,0,0,0,,0,,0,0,,,0,0,,,,,1,,0,0,0,,0,0,0,,,,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,,,0,0,0,,0,0,0,0,,0,,,,,0,,0,0,,,,,0,,,,,,,,,,,,,0,,0,,,,,,,0,,,,,,,,,0,0,0,0,,,,,,,,,,,0,,,,0,,,0,,0,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,,0,,0,0,0,,0,0,,0,0,0,0,0,,,0,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,,,0,0,0,0,0,,,0,,0,,,,,,0,,,,,0,,,,,,,0,0,0,,,,0,usa,1,0,0
hvd.hwpa9a,"The art of elocution; or, logical and musical reading and declamation. With an appendix containing a copious practice in oratorical, poetical, and dramatic reading and recitation; the whole forming a complete speaker, well adapted to private pupils, classes, and the use of schools.","Vandenhoff, George, 1820-1885.","Shepard, 1847 [c1846]",1846,9,0,0,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,1,,,1,,1,,1,1,0,,,,,,,,,0,2,,,,,,,,1,1,,,1,,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,2,1,2,0,0,,,,0,0,0,0,,1,1,2,,0,,0,1,,1,2,2,,,,,0,,0,2,0,,0,0,0,,,,0,0,0,0,1,,0,1,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,,,0,0,0,,0,0,0,0,,0,,,,,0,,0,0,,,,,0,,,,,,,,,,,,,0,,0,,,,,,,1,,,,,,,,,0,0,0,0,,,,,,,,,,,0,,1,,0,,,0,,0,,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,,0,0,0,0,0,0,0,0,,2,0,0,0,,0,,0,0,1,,0,0,,0,0,0,0,0,,,0,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,0,1,0,,,0,0,0,0,0,,,0,,0,,,,,,0,,,,,0,,,,,,,0,0,0,,,,0,eng,30,8,1
hvd.hwsk53,"Hints on elocution, comprising observations on the improvement and management of the voice, modulation, articulation, etc.; original, compiled and selected from Austin, Blair, Burgh etc., etc.","Smith, Charles William, of-?","G. Biggs, 1850.",1850,1,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,,,1,1,0,,,0,,0,,0,0,0,,,,,,,,,0,0,,,,,,,,0,0,,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,,0,0,0,,0,,0,0,,0,0,0,,,,,0,,0,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,,,0,0,0,,0,0,0,0,,0,,,,,0,,0,0,,,,,0,,,,,,,,,,,,,0,,0,,,,,,,0,,,,,,,,,0,0,0,0,,,,,,,,,,,0,,0,,0,,,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,0,,0,0,,0,0,0,0,0,,,0,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,0,0,,,0,,0,,,,,,0,,,,,0,,,,,,,0,0,0,,,,0,usa,3,0,0
hvd.hwsk57,Practical elocution : for use in colleges and schools and by private students / by J.W. Shoemaker.,"Shoemaker, J. W. 1842-1880.","National School of Elocution and Oratory, 1883, c1878.",1883,34,0,0,0,,0,2,,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,1,1,,,,,,,1,,0,0,,1,,,0,0,1,1,,0,,0,1,2,0,0,,,,,,,,,0,0,,,,,,,,0,1,,,0,,0,0,0,0,0,5,,0,1,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,,0,0,1,,1,,0,7,1,0,3,1,,,,,0,,0,0,0,,10,0,2,,,,0,0,0,0,0,,0,0,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,2,0,,,0,0,0,1,0,0,,0,0,1,0,1,0,,0,0,0,,,0,0,0,,0,0,1,0,,0,,,,,0,,0,10,,,,1,1,,1,,,,,,,,,,,1,,0,,2,,,,,0,,,,,,,1,,0,0,0,0,,,,,,,,,,1,0,,0,,0,2,,0,4,1,,1,,4,0,0,3,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,1,0,0,0,,,0,0,0,0,0,3,4,2,0,0,0,0,0,2,1,0,0,0,1,,0,,0,0,3,,1,0,2,0,0,0,0,0,1,,1,1,,,0,,1,,1,,,0,,2,,,,,,,2,,,,,,,,0,0,0,,,0,1,0,0,0,,,0,,0,,,,,,0,,,,,0,,,,,,,1,0,0,,,22,0,usa,31,33,1
